text,ref,translated,source_zip_file,similarity_score,language_pair,source_lang,target_lang,model,file_path,similarity_score_pct,Unnamed: 2,Unnamed: 3
Ame kukua ƒe ƒometɔwo ate ŋu atso nya me le afisi woaɖi woƒe lɔlɔ̃tɔa le ŋu.,The deceased's relatives can decide where to bury their loved one.,My family members can intervene in the office where they will choose their loved one.,run_1,0.521484375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,52.1484375,,
"Woade se ɖe V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.","Towing of the V8/V6 vessels or any vessel of similar tone will be prohibited, except for trips to rural areas.","We recommend using V8/V6 engines or any engine whose displacement matches this size, otherwise driving into hilly/mountainous areas only.",run_1,0.44921875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,44.921875,,
Esesẽna ŋutɔ be ame siwo ƒoa wo ɖokuiwo ɖe teƒe vovovowo la nawɔ nu aduadu.,It's quite hard to mix with people of different cultural beriefs.,The law itself says that people who take their complaints to various places should be careful.,run_1,0.079833984375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,7.9833984375,,
Edze be na xe adzɔga nenye be ne le asi tsam le anyigba sɔe aɖe dzi.,"You have the power to change the undesirable things around you, emphasizing personal agency and empowerment.",He said that he alone holds the key to some land somewhere.,run_1,0.21240234375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,21.240234375,,
"Nu siwo wozãna tsɔ ƒoa asa na asrãdɔ nye atikewo, mu ɖaɖe nuwo ɖa kple ale si womate ŋu aƒo asa na nuɖuɖu o.","Methods used to prevent malaria include medications, mosquito elimination and the prevention of bites.",The trees that were planted to provide shade for the sick are the very things that have caused problems and made it impossible to find food.,run_1,0.1522216796875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,15.22216796875,,
"Nyɔnuvi dzetugbee wònye, gake ate ŋu aƒo nu kplii, gake melɔ̃ ɖe edzi kura o, togbɔ be ɖevia vivina hã la, eléa ɖoɖo ɖe edzi ɣesiaɣi, eye taɖua megahea ta na dzila aɖeke vɛ o.","She is a beautiful girl, but she is just too much trouble. She can talk, she can argue, but she never agrees. Her brother however is a sweet boy. He is always calm, and never causes his parents any headaches.","She is a very beautiful woman, but she can keep quiet, but she doesn't rely on it alone, because even the most beautiful child, its beauty fades over time, and pride will not bring good fortune to anyone.",run_1,0.484375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,48.4375,,
Dunyahela ate ŋu anɔ dunyaheha ɖesiaɖe me faa.,A politician is free to belong to any political party.,The world loves those who love it in return in various ways.,run_1,0.0997314453125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,9.97314453125,,
poliswo le dɔ wɔm kple bɔswo dzi kpɔlawo be yewoakpɔ egbɔ ɣeyiɣi didi aɖe.,Police are working with bus managers to find a long term solution.,The police and border patrol officers are watching to see if they will see it again after a long time.,run_1,0.311279296875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,31.1279296875,,
Dukɔmevi akpa gãtɔ xɔ edzi se be ate ŋu awɔe eye wòawɔe geɖe wu.,Most of the citizens believe in him that he can do it and do it more.,A stubborn child who receives a lot of beating will be able to do it and will do it even more.,run_1,0.207763671875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,20.7763671875,,
Asitsalawo adzɔ ga na bɔlƒoƒea tutu.,The business community will contribute funds for the construction of the stadium.,The lawyers went to court for the hearing.,run_1,0.1387939453125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,13.87939453125,,
